DATE,DBAA
2016-01-29,5.42
2016-02-01,5.46
2016-02-02,5.36
2016-02-03,5.40
2016-02-04,5.40
2016-02-05,5.38
2016-02-08,5.28
2016-02-09,5.28
2016-02-10,5.27
2016-02-11,5.26
2016-02-12,5.34
2016-02-15,.
2016-02-16,5.37
2016-02-17,5.43
2016-02-18,5.37
2016-02-19,5.32
2016-02-22,5.34
2016-02-23,5.32
2016-02-24,5.31
2016-02-25,5.27
2016-02-26,5.32
2016-02-29,5.29
2016-03-01,5.37
2016-03-02,5.34
2016-03-03,5.30
2016-03-04,5.31
2016-03-07,5.30
2016-03-08,5.21
2016-03-09,5.26
2016-03-10,5.23
2016-03-11,5.24
2016-03-14,5.19
2016-03-15,5.16
2016-03-16,5.16
2016-03-17,5.11
2016-03-18,5.05
2016-03-21,5.07
2016-03-22,5.04
2016-03-23,4.95
2016-03-24,4.97
2016-03-25,.
2016-03-28,4.94
2016-03-29,4.90
2016-03-30,4.94
2016-03-31,4.90
2016-04-01,4.89
2016-04-04,4.88
2016-04-05,4.81
2016-04-06,4.84
2016-04-07,4.76
2016-04-08,4.79
2016-04-11,4.78
2016-04-12,4.82
2016-04-13,4.78
2016-04-14,4.79
2016-04-15,4.75
2016-04-18,4.77
2016-04-19,4.75
2016-04-20,4.78
2016-04-21,4.79
2016-04-22,4.78
2016-04-25,4.79
2016-04-26,4.79
2016-04-27,4.73
2016-04-28,4.73
2016-04-29,4.69
2016-05-02,4.74
2016-05-03,4.66
2016-05-04,4.64
2016-05-05,4.62
2016-05-06,4.66
2016-05-09,4.66
2016-05-10,4.66
2016-05-11,4.63
2016-05-12,4.66
2016-05-13,4.61
2016-05-16,4.65
2016-05-17,4.65
2016-05-18,4.74
2016-05-19,4.70
2016-05-20,4.71
2016-05-23,4.70
2016-05-24,4.71
2016-05-25,4.74
2016-05-26,4.69
2016-05-27,4.70
2016-05-30,.
2016-05-31,4.68
2016-06-01,4.67
2016-06-02,4.64
2016-06-03,4.57
2016-06-06,4.59
2016-06-07,4.58
2016-06-08,4.56
2016-06-09,4.53
2016-06-10,4.50
2016-06-13,4.48
2016-06-14,4.50
2016-06-15,4.50
2016-06-16,4.47
2016-06-17,4.51
2016-06-20,4.54
2016-06-21,4.57
2016-06-22,4.55
2016-06-23,4.60
2016-06-24,4.55
2016-06-27,4.42
2016-06-28,4.41
2016-06-29,4.40
2016-06-30,4.41
2016-07-01,4.32
2016-07-04,.
2016-07-05,4.20
2016-07-06,4.21
2016-07-07,4.19
2016-07-08,4.15
2016-07-11,4.18
2016-07-12,4.23
2016-07-13,4.17
2016-07-14,4.23
2016-07-15,4.26
2016-07-18,4.26
2016-07-19,4.23
2016-07-20,4.25
2016-07-21,4.25
2016-07-22,4.23
2016-07-25,4.23
2016-07-26,4.22
2016-07-27,4.19
2016-07-28,4.20
2016-07-29,4.17
2016-08-01,4.24
2016-08-02,4.30
2016-08-03,4.31
2016-08-04,4.27
2016-08-05,4.32
2016-08-08,4.30
2016-08-09,4.25
2016-08-10,4.21
2016-08-11,4.27
2016-08-12,4.22
2016-08-15,4.25
2016-08-16,4.27
2016-08-17,4.25
2016-08-18,4.23
2016-08-19,4.25
2016-08-22,4.20
2016-08-23,4.19
2016-08-24,4.20
2016-08-25,4.21
2016-08-26,4.25
2016-08-29,4.16
2016-08-30,4.19
2016-08-31,4.19
2016-09-01,4.19
2016-09-02,4.23
2016-09-05,.
2016-09-06,4.19
2016-09-07,4.19
2016-09-08,4.28
2016-09-09,4.34
2016-09-12,4.36
2016-09-13,4.43
2016-09-14,4.40
2016-09-15,4.43
2016-09-16,4.41
2016-09-19,4.40
2016-09-20,4.39
2016-09-21,4.36
2016-09-22,4.32
2016-09-23,4.30
2016-09-26,4.29
2016-09-27,4.25
2016-09-28,4.26
2016-09-29,4.23
2016-09-30,4.29
2016-10-03,4.29
2016-10-04,4.35
2016-10-05,4.36
2016-10-06,4.36
2016-10-07,4.36
2016-10-10,.
2016-10-11,4.37
2016-10-12,4.39
2016-10-13,4.34
2016-10-14,4.43
2016-10-17,4.39
2016-10-18,4.37
2016-10-19,4.38
2016-10-20,4.35
2016-10-21,4.34
2016-10-24,4.36
2016-10-25,4.35
2016-10-26,4.39
2016-10-27,4.44
2016-10-28,4.46
2016-10-31,4.45
2016-11-01,4.44
2016-11-02,4.44
2016-11-03,4.49
2016-11-04,4.46
2016-11-07,4.49
2016-11-08,4.5
2016-11-09,4.73
2016-11-10,4.75
2016-11-11,.
